Model,Category,JD_Num,K,P@K,NDCG@K,Accuracy
BERT,HR,1,5,0.8,0.8687949224876582,80.0
BERT,HR,1,10,0.8,0.84860265890399,80.0
BERT,HR,2,5,0.4,0.48522855511632257,40.0
BERT,HR,2,10,0.4,0.45186484096594276,40.0
BERT,HR,3,5,0.4,0.27727342735504823,40.0
BERT,HR,3,10,0.3,0.24936270394794902,30.0
BERT,HR,4,5,0.0,0.0,0.0
BERT,HR,4,10,0.0,0.0,0.0
BERT,HR,5,5,0.8,0.8539316501572937,80.0
BERT,HR,5,10,0.5,0.6325414799409712,50.0
BERT,HR,6,5,0.4,0.36005461457723403,40.0
BERT,HR,6,10,0.4,0.3783033006761697,40.0
BERT,HR,7,5,0.2,0.3391602052736161,20.0
BERT,HR,7,10,0.3,0.37185395737611554,30.0
BERT,HR,8,5,0.8,0.8539316501572937,80.0
BERT,HR,8,10,0.8,0.8415908474314976,80.0
BERT,HR,9,5,0.0,0.0,0.0
BERT,HR,9,10,0.0,0.0,0.0
BERT,INFORMATION-TECHNOLOGY,1,5,0.4,0.4703652827859579,40.0
BERT,INFORMATION-TECHNOLOGY,1,10,0.4,0.44988737637276544,40.0
BERT,INFORMATION-TECHNOLOGY,2,5,0.4,0.3156484524795145,40.0
BERT,INFORMATION-TECHNOLOGY,2,10,0.3,0.2781981696179509,30.0
BERT,INFORMATION-TECHNOLOGY,3,5,0.2,0.3391602052736161,20.0
BERT,INFORMATION-TECHNOLOGY,3,10,0.3,0.37185395737611554,30.0
BERT,INFORMATION-TECHNOLOGY,4,5,0.2,0.21398626473452756,20.0
BERT,INFORMATION-TECHNOLOGY,4,10,0.3,0.2866919347890071,30.0
BERT,INFORMATION-TECHNOLOGY,5,5,0.2,0.3391602052736161,20.0
BERT,INFORMATION-TECHNOLOGY,5,10,0.2,0.28371255449703187,20.0
BERT,INFORMATION-TECHNOLOGY,6,5,0.2,0.3391602052736161,20.0
BERT,INFORMATION-TECHNOLOGY,6,10,0.2,0.28371255449703187,20.0
BERT,INFORMATION-TECHNOLOGY,7,5,0.4,0.38356636737133565,40.0
