Model,JD_Key,Category,K,P@K,R@K,NDCG@K
SBERT,HR_JD1,HR,5,1.0,0.045454545454545456,1.0
SBERT,HR_JD1,HR,10,0.8,0.07272727272727272,0.866947989864271
SBERT,HR_JD2,HR,5,0.4,0.01818181818181818,0.38356636737133565
SBERT,HR_JD2,HR,10,0.5,0.045454545454545456,0.4642913062995817
SBERT,HR_JD3,HR,5,1.0,0.045454545454545456,1.0
SBERT,HR_JD3,HR,10,1.0,0.09090909090909091,1.0
SBERT,HR_JD4,HR,5,0.8,0.03636363636363636,0.8687949224876582
SBERT,HR_JD4,HR,10,0.9,0.08181818181818182,0.914856882358379
SBERT,HR_JD5,HR,5,1.0,0.045454545454545456,1.0
SBERT,HR_JD5,HR,10,1.0,0.09090909090909091,1.0
SBERT,HR_JD6,HR,5,0.8,0.03636363636363636,0.6608397947263839
SBERT,HR_JD6,HR,10,0.8,0.07272727272727272,0.7136540102475308
SBERT,HR_JD7,HR,5,1.0,0.045454545454545456,1.0
SBERT,HR_JD7,HR,10,1.0,0.09090909090909091,1.0
SBERT,HR_JD8,HR,5,1.0,0.045454545454545456,1.0
SBERT,HR_JD8,HR,10,0.9,0.08181818181818182,0.9305687780632227
SBERT,HR_JD9,HR,5,1.0,0.045454545454545456,1.0
SBERT,HR_JD9,HR,10,0.8,0.07272727272727272,0.8643145546088337
SBERT,INFORMATION-TECHNOLOGY_JD1,INFORMATION-TECHNOLOGY,5,0.4,0.016666666666666666,0.48522855511632257
SBERT,INFORMATION-TECHNOLOGY_JD1,INFORMATION-TECHNOLOGY,10,0.6,0.05,0.6023277671368327
SBERT,INFORMATION-TECHNOLOGY_JD2,INFORMATION-TECHNOLOGY,5,0.8,0.03333333333333333,0.830419897363192
SBERT,INFORMATION-TECHNOLOGY_JD2,INFORMATION-TECHNOLOGY,10,0.7,0.058333333333333334,0.7600791051976192
SBERT,INFORMATION-TECHNOLOGY_JD3,INFORMATION-TECHNOLOGY,5,0.6,0.025,0.6164336326286644
SBERT,INFORMATION-TECHNOLOGY_JD3,INFORMATION-TECHNOLOGY,10,0.4,0.03333333333333333,0.46945447024602915
SBERT,INFORMATION-TECHNOLOGY_JD4,INFORMATION-TECHNOLOGY,5,0.8,0.03333333333333333,0.830419897363192
SBERT,INFORMATION-TECHNOLOGY_JD4,INFORMATION-TECHNOLOGY,10,0.9,0.075,0.8899541168509599
SBERT,INFORMATION-TECHNOLOGY_JD5,INFORMATION-TECHNOLOGY,5,0.8,0.03333333333333333,0.6608397947263839
SBERT,INFORMATION-TECHNOLOGY_JD5,INFORMATION-TECHNOLOGY,10,0.8,0.06666666666666667,0.7104770117651426
SBERT,INFORMATION-TECHNOLOGY_JD6,INFORMATION-TECHNOLOGY,5,0.2,0.008333333333333333,0.3391602052736161
SBERT,INFORMATION-TECHNOLOGY_JD6,INFORMATION-TECHNOLOGY,10,0.1,0.008333333333333333,0.22009176629808017
SBERT,INFORMATION-TECHNOLOGY_JD7,INFORMATION-TECHNOLOGY,5,0.6,0.025,0.7227265726449519
SBERT,INFORMATION-TECHNOLOGY_JD7,INFORMATION-TECHNOLOGY,10,0.5,0.041666666666666664,0.6086182388744239
SBERT,INFORMATION-TECHNOLOGY_JD8,INFORMATION-TECHNOLOGY,5,0.8,0.03333333333333333,0.7860137352654724
SBERT,INFORMATION-TECHNOLOGY_JD8,INFORMATION-TECHNOLOGY,10,0.8,0.06666666666666667,0.7877736340270854
SBERT,INFORMATION-TECHNOLOGY_JD9,INFORMATION-TECHNOLOGY,5,0.6,0.025,0.7227265726449519
SBERT,INFORMATION-TECHNOLOGY_JD9,INFORMATION-TECHNOLOGY,10,0.6,0.05,0.6683063269107928
SBERT,INFORMATION-TECHNOLOGY_JD10,INFORMATION-TECHNOLOGY,5,0.8,0.03333333333333333,0.8539316501572937
SBERT,INFORMATION-TECHNOLOGY_JD10,INFORMATION-TECHNOLOGY,10,0.7,0.058333333333333334,0.7695261902392829
SBERT,DESIGNER_JD1,DESIGNER,5,0.8,0.037383177570093455,0.8687949224876582
SBERT,DESIGNER_JD1,DESIGNER,10,0.7,0.06542056074766354,0.77523873680463
SBERT,DESIGNER_JD2,DESIGNER,5,0.6,0.028037383177570093,0.6548086577531307
SBERT,DESIGNER_JD2,DESIGNER,10,0.5,0.04672897196261682,0.5669450709942981
SBERT,DESIGNER_JD3,DESIGNER,5,0.6,0.028037383177570093,0.4912596920895758
SBERT,DESIGNER_JD3,DESIGNER,10,0.6,0.056074766355140186,0.5341769051617135
SBERT,DESIGNER_JD4,DESIGNER,5,0.8,0.037383177570093455,0.8539316501572937
SBERT,DESIGNER_JD4,DESIGNER,10,0.8,0.07476635514018691,0.8415908474314976
SBERT,DESIGNER_JD5,DESIGNER,5,0.8,0.037383177570093455,0.830419897363192
SBERT,DESIGNER_JD5,DESIGNER,10,0.8,0.07476635514018691,0.8205228949141826
SBERT,DESIGNER_JD6,DESIGNER,5,0.8,0.037383177570093455,0.830419897363192
SBERT,DESIGNER_JD6,DESIGNER,10,0.6,0.056074766355140186,0.6745711375739728
SBERT,DESIGNER_JD7,DESIGNER,5,1.0,0.04672897196261682,1.0
SBERT,DESIGNER_JD7,DESIGNER,10,1.0,0.09345794392523364,1.0
SBERT,DESIGNER_JD8,DESIGNER,5,0.0,0.0,0.0
SBERT,DESIGNER_JD8,DESIGNER,10,0.2,0.018691588785046728,0.1478294909154526
SBERT,DESIGNER_JD9,DESIGNER,5,1.0,0.04672897196261682,1.0
SBERT,DESIGNER_JD9,DESIGNER,10,1.0,0.09345794392523364,1.0
SBERT,SALES_JD1,SALES,5,0.2,0.008620689655172414,0.16958010263680806
SBERT,SALES_JD1,SALES,10,0.3,0.02586206896551724,0.2520649403266671
SBERT,SALES_JD2,SALES,5,0.8,0.034482758620689655,0.830419897363192
SBERT,SALES_JD2,SALES,10,0.9,0.07758620689655173,0.8899541168509599
SBERT,SALES_JD3,SALES,5,0.8,0.034482758620689655,0.8539316501572937
