Category,Job_Title,JD_Number,Correct,Accuracy
HR,Human Resources Manager,1,8,80.0
HR,HR Coordinator,2,5,50.0
HR,HR Coordinator,3,10,100.0
HR,HR Coordinator,4,9,90.0
HR,HR Manager,5,10,100.0
HR,Human Resources Manager,6,8,80.0
HR,HR Manager,7,10,100.0
HR,Human Resources Manager,8,9,90.0
HR,HR Manager,9,8,80.0
INFORMATION-TECHNOLOGY,Network Engineer,1,6,60.0
INFORMATION-TECHNOLOGY,Network Administrator,2,7,70.0
INFORMATION-TECHNOLOGY,Software Engineer,3,4,40.0
INFORMATION-TECHNOLOGY,Systems Administrator,4,9,90.0
INFORMATION-TECHNOLOGY,IT Support Specialist,5,8,80.0
INFORMATION-TECHNOLOGY,Software Developer,6,1,10.0
INFORMATION-TECHNOLOGY,Systems Engineer,7,5,50.0
INFORMATION-TECHNOLOGY,Network Engineer,8,8,80.0
INFORMATION-TECHNOLOGY,Network Administrator,9,6,60.0
INFORMATION-TECHNOLOGY,IT Manager,10,7,70.0
DESIGNER,UX/UI Designer,1,7,70.0
DESIGNER,UX/UI Designer,2,5,50.0
DESIGNER,Web Designer,3,6,60.0
DESIGNER,UX/UI Designer,4,8,80.0
DESIGNER,Graphic Designer,5,8,80.0
DESIGNER,Product Designer,6,6,60.0
DESIGNER,Graphic Designer,7,10,100.0
DESIGNER,Web Designer,8,2,20.0
DESIGNER,Graphic Designer,9,10,100.0
SALES,Account Manager,1,3,30.0
SALES,Sales Manager,2,9,90.0
SALES,Sales Representative,3,9,90.0
SALES,Sales Representative,4,5,50.0
SALES,Sales Manager,5,6,60.0
SALES,Account Manager,6,0,0.0
SALES,Sales Manager,7,1,10.0
SALES,Sales Associate,8,9,90.0
SALES,Sales Representative,9,8,80.0
FINANCE,Investment Analyst,1,2,20.0
FINANCE,Investment Analyst,2,3,30.0
FINANCE,Financial Analyst,3,6,60.0
FINANCE,Financial Controller,4,8,80.0
FINANCE,Financial Analyst,5,7,70.0
FINANCE,Financial Advisor,6,7,70.0
FINANCE,Financial Controller,7,1,10.0
